Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
2400,WIDE,0,0.304386,0,0,0,1,0
2440,WIDE,0,0.308204,0,0,0,1,0
2480,WIDE,0,0.308833,0,0,0,1,0
2520,WIDE,0,0.306276,0,0,0,1,0
2560,WIDE,0,0.300533,0,0,0,1,0
2600,WIDE,0,0.291603,0,0,0,1,0
2640,WIDE,0,0.279488,0,0,0,1,0
2680,WIDE,0,0.264186,0,0,0,1,0
2720,WIDE,0,0.245699,0,0,0,1,0
2760,WIDE,0,0.224025,0,0,0,1,0
2800,WIDE,0,0.199166,0,0,0,1,0
2840,WIDE,0,0.17112,0,0,0,1,0
2880,WIDE,0,0.139888,0,0,0,1,0
2920,WIDE,0,0.10547,0,0,0,1,0
2960,WIDE,0,0.0678666,0,0,0,1,0
3000,WIDE,0,0.0385422,0,0,0,1,0
3040,WIDE,0,0.0224241,0,0,0,1,0
3080,WIDE,0,0.0105305,0,0,0,1,0
3120,WIDE,0,0.00309723,0,0,0,1,0
3160,WIDE,0,0.000106801,0,0,0,1,0
3200,WIDE,0,3.68279e-06,0,0,0,1,0
3240,WIDE,0,1.26993e-07,0,0,0,1,0
3280,WIDE,0,4.37906e-09,0,0,0,1,0
3320,WIDE,0,1.51002e-10,0,0,0,1,0
3360,WIDE,0,5.20697e-12,0,0,0,1,0
3400,WIDE,0,1.79551e-13,0,0,0,1,0
3440,WIDE,0,6.1914e-15,0,0,0,1,0
3480,WIDE,0,2.13497e-16,0,0,0,1,0
3520,WIDE,0,7.36195e-18,0,0,0,1,0
3560,WIDE,0,2.5386e-19,0,0,0,1,0
3600,WIDE,0,8.75381e-21,0,0,0,1,0
3640,WIDE,0,3.01855e-22,0,0,0,1,0
3680,WIDE,0,1.04088e-23,0,0,0,1,0
3720,WIDE,0,0.00273411,0,0,0,1,0
3760,WIDE,0,0.00537393,0,0,0,1,0
3800,WIDE,0,0.00782195,0,0,0,1,0
3840,WIDE,0,0.0100748,0,0,0,1,0
3880,WIDE,0,0.0121324,0,0,0,1,0
3920,WIDE,0.286397,0.0139946,1,0,0,1,0
3960,WIDE,0.286397,0.0156616,1,0,0,1,0
4000,WIDE,0.286397,0.0238886,0,0,0,1,0
4040,WIDE,0.286397,0.0315976,0,0,0,1,0
4080,WIDE,0.286397,0.0450917,0,0,0,1,0
4120,WIDE,0.286397,0.0637088,0,0,0,1,0
4160,WIDE,0.286397,0.0807054,0,0,0,1,0
4200,WIDE,0.568996,0.101176,1,0,0,1,0
4240,WIDE,0.568996,0.119506,1,0,0,1,0
4280,MEDIUM,0.747585,0.135501,1,0,1,0,0
4320,WIDE,0.884184,0.153304,0,0,0,1,0
4360,WIDE,0.884184,0.168506,1,0,0,1,0
4400,WIDE,0.99176,0.180955,1,0,0,1,0
4440,WIDE,0.99176,0.190646,1,0,0,1,0
4480,WIDE,0.99176,0.205147,0,0,0,1,0
4520,WIDE,1.0763,0.209188,1,0,0,1,0
4560,CLOSE_UP,1.0763,0.216922,1,1,0,0,0
4600,WIDE,1.0763,0.221271,0,0,0,1,0
4640,CLOSE_UP,1.0763,0.22199,0,1,0,0,0
4680,CLOSE_UP,1.23616,0.219072,1,1,0,0,0
4720,WIDE,1.0763,0.212515,1,0,0,1,0
4760,CLOSE_UP,1.23616,0.204402,1,1,0,0,0
4800,WIDE,1.23616,0.19444,1,0,0,1,0
4840,WIDE,1.23616,0.183451,0,0,0,1,0
4880,CLOSE_UP,1.23616,0.167668,0,1,0,0,0
4920,WIDE,1.23616,0.161637,0,0,0,1,0
4960,WIDE,1.29546,0.154134,1,0,0,1,0
5000,WIDE,1.35272,0.141378,1,0,0,1,0
5040,MEDIUM,1.43876,0.125964,0,0,1,0,0
5080,WIDE,1.43876,0.107606,0,0,0,1,0
5120,MEDIUM,1.40601,0.0847876,0,0,1,0,0
5160,WIDE,1.44065,0.0596867,0,0,0,1,0
5200,WIDE,1.36096,0.0470723,0,0,0,1,0
5240,WIDE,1.369,0.0344563,0,0,0,1,0
5280,WIDE,1.36096,0.0278368,0,0,0,1,0
5320,CLOSE_UP,1.21924,0.0257238,0,1,0,0,0
5360,MEDIUM,1.18838,0.0237395,0,0,1,0,0
5400,MEDIUM,1.14115,0.0255825,0,0,1,0,0
5440,MEDIUM,1.0763,0.0310359,0,0,1,0,0
5480,MEDIUM,1.0763,0.0364767,0,0,1,0,0
5520,MEDIUM,0.99176,0.0425611,0,0,1,0,0
5560,MEDIUM,0.99176,0.0529278,0,0,1,0,0
5600,MEDIUM,0.884184,0.0592975,0,0,1,0,0
5640,MEDIUM,0.747585,0.0630083,0,0,1,0,0
5680,MEDIUM,0.747585,0.0647451,1,0,1,0,0
5720,MEDIUM,0.747585,0.0658938,0,0,1,0,0
