Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
2502.5,WIDE,0,0,0,0,0,1,0
2544.21,WIDE,0,0,0,0,0,1,0
2585.92,WIDE,0,0,0,0,0,1,0
2627.62,WIDE,0,0,0,0,0,1,0
2669.33,WIDE,0,0,0,0,0,1,0
2711.04,WIDE,0,0,0,0,0,1,0
2752.75,WIDE,0,0,0,0,0,1,0
2794.46,WIDE,0,0,0,0,0,1,0
2836.17,WIDE,0,0,0,0,0,1,0
2877.88,WIDE,0,0,0,0,0,1,0
2919.58,WIDE,0,0,0,0,0,1,0
2961.29,WIDE,0,0,0,0,0,1,0
3003,WIDE,0,0,0,0,0,1,0
3044.71,WIDE,0,0,0,0,0,1,0
3086.42,WIDE,0,0,0,0,0,1,0
3128.12,WIDE,0,0,0,0,0,1,0
3169.83,WIDE,0,0,0,0,0,1,0
3211.54,WIDE,0,0,0,0,0,1,0
3253.25,WIDE,0,0,0,0,0,1,0
3294.96,WIDE,0,0,0,0,0,1,0
3336.67,WIDE,0,0,0,0,0,1,0
3378.38,WIDE,0,0,0,0,0,1,0
3420.08,WIDE,0,0,0,0,0,1,0
3461.79,WIDE,0,0,0,0,0,1,0
3503.5,WIDE,0,0,0,0,0,1,0
3545.21,WIDE,0,0,0,0,0,1,0
3586.92,WIDE,0,0,0,0,0,1,0
3628.62,WIDE,0,0,0,0,0,1,0
3670.33,WIDE,0,0,0,0,0,1,0
3712.04,WIDE,0,0,0,0,0,1,0
3753.75,WIDE,0,0,0,0,0,1,0
3795.46,WIDE,0,0,0,0,0,1,0
3837.17,WIDE,0,0,0,0,0,1,0
3878.88,WIDE,0,0,0,0,0,1,0
3920.58,WIDE,0,0,0,0,0,1,0
3962.29,WIDE,0,0,0,0,0,1,0
4004,WIDE,0,0,0,0,0,1,0
4045.71,WIDE,0,0,0,0,0,1,0
4087.42,WIDE,0,0,0,0,0,1,0
4129.12,WIDE,0,0,0,0,0,1,0
4170.83,WIDE,0,0,0,0,0,1,0
4212.54,WIDE,0,0,0,0,0,1,0
4254.25,WIDE,0,0,0,0,0,1,0
4295.96,WIDE,0,0,0,0,0,1,0
4337.67,WIDE,0,0,0,0,0,1,0
4379.38,WIDE,0,0,0,0,0,1,0
4421.08,WIDE,0,0,0,0,0,1,0
4462.79,WIDE,0,0,0,0,0,1,0
4504.5,WIDE,0,0,0,0,0,1,0
4546.21,WIDE,0,0,0,0,0,1,0
4587.92,WIDE,0,0,0,0,0,1,0
4629.62,WIDE,0,0,0,0,0,1,0
4671.33,WIDE,0,0,0,0,0,1,0
4713.04,WIDE,0,0,0,0,0,1,0
4754.75,WIDE,0,0.00273411,0,0,0,1,0
4796.46,WIDE,0,0.0098515,0,0,0,1,0
4838.17,WIDE,0,0.0214348,0,0,0,1,0
4879.88,WIDE,0,0.0369411,0,0,0,1,0
4921.58,WIDE,0,0.0555223,0,0,0,1,0
4963.29,WIDE,0.286397,0.0761801,0,0,0,1,0
5005,WIDE,0.468996,0.097859,1,0,0,1,0
5046.71,WIDE,0.60984,0.11951,0,0,0,1,0
5088.42,WIDE,0.721928,0.140136,0,0,0,1,0
5130.12,WIDE,0.811278,0.15883,0,0,0,1,0
5171.83,WIDE,0.881291,0.175158,0,0,0,1,0
5213.54,WIDE,0.934068,0.189106,0,0,0,1,0
5255.25,WIDE,0.970951,0.200673,0,0,0,1,0
5296.96,WIDE,0.992774,0.20986,0,0.333333,0,0.666667,0
5338.67,CLOSE_UP,1,0.216665,0,0.666667,0,0.333333,0
5380.37,CLOSE_UP,1,0.221089,0,1,0,0,0
5422.08,CLOSE_UP,1,0.223132,1,1,0,0,0
5463.79,CLOSE_UP,1,0.222795,0,1,0,0,0
5505.5,CLOSE_UP,1,0.220076,0,1,0,0,0
5547.21,CLOSE_UP,1,0.214977,0,1,0,0,0
