Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
2585.21,WIDE,0,0,0,0,0,1,0
2626.92,WIDE,0,0,0,0,0,1,0
2668.63,WIDE,0,0,0,0,0,1,0
2710.33,WIDE,0,0,0,0,0,1,0
2752.04,WIDE,0,0,0,0,0,1,0
2793.75,WIDE,0,0,0,0,0,1,0
2835.46,WIDE,0,0,0,0,0,1,0
2877.17,WIDE,0,0,0,0,0,1,0
2918.88,WIDE,0,0,0,0,0,1,0
2960.58,WIDE,0,0,0,0,0,1,0
3002.29,WIDE,0,0,0,0,0,1,0
3044,WIDE,0,0,0,0,0,1,0
3085.71,WIDE,0,0,0,0,0,1,0
3127.42,WIDE,0,0,0,0,0,1,0
3169.13,WIDE,0,0,0,0,0,1,0
3210.83,WIDE,0,0,0,0,0,1,0
3252.54,WIDE,0,0,0,0,0,1,0
3294.25,WIDE,0,0,0,0,0,1,0
3335.96,WIDE,0,0,0,0,0,1,0
3377.67,WIDE,0,0,0,0,0,1,0
3419.38,WIDE,0,0,0,0,0,1,0
3461.08,WIDE,0,0,0,0,0,1,0
3502.79,WIDE,0,0,0,0,0,1,0
3544.5,WIDE,0,0,0,0,0,1,0
3586.21,WIDE,0,0,0,0,0,1,0
3627.92,WIDE,0,0,0,0,0,1,0
3669.63,WIDE,0,0,0,0,0,1,0
3711.33,WIDE,0,0,0,0,0,1,0
3753.04,WIDE,0,0,0,0,0,1,0
3794.75,WIDE,0,0,0,0,0,1,0
3836.46,WIDE,0,0,0,0,0,1,0
3878.17,WIDE,0,0,0,0,0,1,0
3919.88,WIDE,0,0,0,0,0,1,0
3961.58,WIDE,0,0,0,0,0,1,0
4003.29,WIDE,0,0,0,0,0,1,0
4045,WIDE,0,0,0,0,0,1,0
4086.71,WIDE,0,0,0,0,0,1,0
4128.42,WIDE,0,0,0,0,0,1,0
4170.13,WIDE,0,0,0,0,0,1,0
4211.83,WIDE,0,0,0,0,0,1,0
4253.54,WIDE,0,0,0,0,0,1,0
4295.25,WIDE,0,0,0,0,0,1,0
4336.96,WIDE,0,0,0,0,0,1,0
4378.67,WIDE,0,0,0,0,0,1,0
4420.38,WIDE,0,0,0,0,0,1,0
4462.08,WIDE,0,0,0,0,0,1,0
4503.79,WIDE,0,0,0,0,0,1,0
4545.5,WIDE,0,0,0,0,0,1,0
4587.21,WIDE,0,0,0,0,0,1,0
4628.92,WIDE,0,0,0,0,0,1,0
4670.63,WIDE,0,0,0,0,0,1,0
4712.33,WIDE,0,0,0,0,0,1,0
4754.04,WIDE,0,0,0,0,0,1,0
4795.75,WIDE,0,0,0,0,0,1,0
4837.46,WIDE,0,0,0,0,0,1,0
4879.17,WIDE,0,0,0,0,0,1,0
4920.88,WIDE,0,0,0,0,0,1,0
4962.58,WIDE,0,0,0,0,0,1,0
5004.29,WIDE,0,0,0,0,0,1,0
5046,WIDE,0,0,0,0,0,1,0
5087.71,WIDE,0,0,0,0,0,1,0
5129.42,WIDE,0,0,0,0,0,1,0
5171.13,WIDE,0,0,0,0,0,1,0
5212.83,WIDE,0,0,0,0,0,1,0
5254.54,WIDE,0,0,0,0,0,1,0
